# Data format: "%float(LinearAccelX),%float(LinearAccelY),%float(LinearAccelZ)"
0.07372,-0.02682,-0.10272
0.07745,-0.01320,-0.12965
0.04747,0.02299,-0.08722
0.09395,0.00304,-0.12619
0.11942,-0.00424,-0.10109
0.10414,-0.01511,-0.11922
0.11971,0.00964,-0.13226
0.09993,-0.00577,-0.11888
0.10141,-0.01770,-0.12687
0.10789,0.00288,-0.10873
0.11626,-0.02128,-0.11485
0.08579,-0.04239,-0.12625
0.09478,-0.01054,-0.12390
0.09344,-0.05108,-0.10639
0.08507,-0.03268,-0.10696
0.10626,-0.01060,-0.10652
0.07866,-0.01132,-0.10163
0.08121,-0.02316,-0.10366
0.07722,-0.01681,-0.09691
0.07973,-0.03118,-0.06331
0.04518,-0.03456,-0.05346
0.03972,-0.03754,-0.09950
0.05962,-0.02963,-0.05922
0.06323,-0.05944,-0.09108
0.05854,-0.07380,-0.09154
0.05558,-0.07649,-0.08565
0.06991,-0.08338,-0.09563
0.08701,-0.06397,-0.10311
0.07153,-0.08923,-0.08225
0.07393,-0.10125,-0.09851
0.07503,-0.08378,-0.10918
0.05736,-0.07659,-0.08929
0.06756,-0.07137,-0.08543
0.04431,-0.07863,-0.08727
0.05592,-0.07356,-0.09159
0.07841,-0.11021,-0.07656
0.07031,-0.08908,-0.07012
0.05975,-0.07088,-0.08718
0.05582,-0.11169,-0.07901
0.04513,-0.07868,-0.07766
0.06980,-0.04206,-0.06901
0.04217,-0.06078,-0.06510
0.05904,-0.05300,-0.05926
0.06281,-0.01794,-0.05402
0.05921,-0.03527,-0.04910
0.04101,-0.00777,-0.05363
0.04933,-0.03763,-0.07155
0.03876,-0.05461,-0.07214
0.07614,-0.03310,-0.08364
0.08456,-0.06282,-0.09801
0.10644,-0.03737,-0.08081
0.10850,-0.07555,-0.09452
0.08960,-0.07751,-0.11014
0.10239,-0.03102,-0.09682
0.13070,-0.04379,-0.11810
0.11141,-0.05739,-0.09510
0.11868,-0.00763,-0.08895
0.09812,-0.01540,-0.09363
0.10917,-0.01565,-0.08462
0.09056,-0.02952,-0.07648
0.09009,-0.02638,-0.08423
0.07155,0.00643,-0.06374
0.06625,-0.02258,-0.07239
0.03972,0.00755,-0.07852
0.03900,0.00729,-0.02119
0.02383,-0.02147,-0.04406
0.02172,-0.01574,-0.01411
0.03107,-0.01854,-0.05364
0.02265,-0.03862,-0.07725
0.03052,-0.04450,-0.08337
0.05542,-0.02731,-0.07606
0.05404,-0.03287,-0.09014
0.05525,-0.03552,-0.10593
0.05327,-0.03836,-0.10138
0.04992,-0.04979,-0.11402
0.05031,-0.04375,-0.12183
0.05444,-0.02056,-0.09949
0.07189,-0.01137,-0.13377
0.05579,0.00018,-0.10420
0.05100,0.00629,-0.11500
0.02443,0.00048,-0.09978
0.01709,-0.00875,-0.06235
-0.00048,0.00314,-0.06401
-0.00733,-0.00028,-0.03023
-0.01245,-0.02341,-0.04478
-0.01561,-0.05019,-0.02120
-0.03023,-0.01436,-0.05310
-0.02434,0.00843,-0.02076
